Style,Exterior Color,Interior Color,MPG,Engine,Drive Type,Fuel Type,Transmission,accidents,owners,year,brand,model,price,mileage,Cab Type,Bed Length,Range
Sedan,Graphite,Blue,32 cty / 40 hwy,1.5L Inline-4 Gas,FWD,Gas,Automatic,0,2,2019,Toyota,Yaris,"$19,999 ",21840,,,
Sedan,Celestial Silver Metallic,Black,28 cty / 39 hwy,2.5L Inline-4 Gas,FWD,Gas,Automatic,1,2,2019,Toyota,Camry,"$18,182 ",103386,,,
Sedan,Black Sand Pearl,Light Gray,30 cty / 38 hwy,1.8L Inline-4 Gas,FWD,Gas,Automatic,0,1,2022,Toyota,Corolla,"$21,950 ",21320,,,
Sedan,White,Tan,51 cty / 48 hwy,1.8L Inline-4 Hybrid,FWD,Hybrid,Automatic,0,3,2010,Toyota,Prius,"$9,991 ",130678,,,
Sedan,Classic Silver Metallic,Light Gray,30 cty / 38 hwy,1.8L Inline-4 Gas,FWD,Gas,Automatic,0,1,2020,Toyota,Corolla,"$17,749 ",57515,,,
Sedan,Classic Silver Metallic,Light Gray,30 cty / 38 hwy,1.8L Inline-4 Gas,FWD,Gas,Automatic,1,2,2020,Toyota,Corolla,"$18,979 ",62134,,,
Sedan,Super White,Red,51 cty / 48 hwy,1.8L Inline-4 Hybrid,FWD,Hybrid,Automatic,1,4,2010,Toyota,Prius,"$4,995 ",202886,,,
Sedan,Black Sand Pearl,Black,30 cty / 38 hwy,1.8L Inline-4 Gas,FWD,Gas,Automatic,0,1,2021,Toyota,Corolla,"$18,999 ",57144,,,
Sedan,Super White,Light Gray,30 cty / 38 hwy,1.8L Inline-4 Gas,FWD,Gas,Automatic,0,1,2021,Toyota,Corolla,"$20,966 ",65524,,,
Sedan,Blue,Tan,51 cty / 48 hwy,1.8L Inline-4 Hybrid,FWD,Hybrid,Automatic,0,2,2010,Toyota,Prius,"$12,991 ",72497,,,
Sedan,Classic Silver Metallic,Black,30 cty / 38 hwy,1.8L Inline-4 Gas,FWD,Gas,Automatic,1,1,2021,Toyota,Corolla,"$20,499 ",41120,,,
Sedan,Celestite,Light Gray,30 cty / 38 hwy,1.8L Inline-4 Gas,FWD,Gas,Automatic,0,1,2021,Toyota,Corolla,"$20,951 ",45843,,,
SUV,Midnight Black Metallic,Unknown,27 cty / 33 hwy,2.5L Inline-4 Gas,AWD,Gas,Automatic,0,3,2021,Toyota,RAV4,"$27,005 ",61375,,,
